cityname,Article 
Chennai,"['Ranjith SankarSpecial arrangement', 'Even as Tamil cinema is throwing light on water issues in films like\nAramm\n, a Malayalam movie is talking about packaged drinking water. In\nPunyalan Private Limited\n, the sequel to Jayasurya-starrer\nPunyalan Agarbattis\n(2013), director Ranjith Sankar’s lead character, Joy Thakkolkkaran, plays an entrepreneur selling packaged drinking water. In the first part, the entrepreneur came up with the idea of making incense sticks from elephant dung.', '“A sequel has its advantages and disadvantages. The advantage is that people know the characters and will definitely go to theatres to see them in action. But, the problem is they come with a lot of expectations and it is quite a challenge to live up to that,” says Sankar.', 'This time, Joy is hitting the market with what he hopes is a water-tight plan — packaged drinking water, branded as ‘Punyalan Vellam’. His aim is to monopolise the world market! Sankar says that while the movie has generous doses of humour, it touches upon several flaws in the system and society. As in\nPunyalan Agarbattis\n, Thakkolkkaran has to overcome many hurdles and eventually ends up taking things into his own hands to get things going. In the teaser, one finds him fuming over hartals, the ban on beef, communal tensions and other current issues.', 'Meanwhile, it is Sankar’s 10th movie, and the techie-turned-filmmaker, who has proved his mettle with fresh themes, is ecstatic. “I never thought that the journey would go beyond\nPassenger,\nbecause I am not from the cinema industry and have no godfathers. So my idea was to make just one movie. I assumed it would be a flop, but since my wife and I are computer engineers, our plan was to go abroad and earn enough to make up for the loss. It feels incredible to know that I have stayed put to make 10 films.”', '', 'Poo paper', 'Haathi Chaap is a brand of paper manufactured in Rajasthan from elephant dung. Elephant dung paper was probably first made in Thailand and is also manufactured in Sri Lanka and South Africa.']"
Chennai,"['Diminishing dualitiesIndie Culture, a label by Indou Theagrajan', 'Indou Theagrajan’s label Indie Culture is known for giving a chic spin to all things leather, be it bomber jackets, pencil skirts or even shorts. The designer is working on a new project now. “It’s titled ‘Duality’, a project that we have been working on for several months now. We are creating something that does not conform to gender roles. While exploring the theme of androgyny, the natural choice was to make something gender neutral or unisex,” says Theagrajan. As a result, Indie Culture recently launched their first unisex piece of clothing — a suede jacket. The jacket is hand-embroidered by artisans in Kochi and cut and sewn in Chennai. It has ribbed sleeves and a waistband that gives it a sporty look. “Keeping in line with the theme of self-expression, we give you the option of custom-designing a selection of colours and embroideries,” she adds.', 'There are a lot of stereotypes, with even small things like associating pink with girls and suits with men, she says. “Why would you want to believe what is assigned to you as final? It is definitely okay for a man to wear a flowery jacket. You don’t have to be stereotyped on your freedom of comfort. This is to tell that there needn’t be any labels outside to describe you,” she says. The project is a collaboration with illustrator Vishnu Valsan, her classmate from NIFT, stylist Aarya Maria Mathai and photographer Shani Shaki. Theagrajan believes that unisex clothing was and still is prevalent in a lot of traditional Indian clothing and performance art costumes. Garments like the Kerala mundu, loose skirts, kurtas and Patialas, among others, have been known to be worn by both men and women for decades, she says. “Questioning gender roles and stereotypes is an important trend that has gained prominence over the last few years. We begin to see that this has had a lot of positive influence over society as a whole. I believe this conversation has resulted in the rise of gender neutral or unisex fashion the world over,” says Theagrajan.', 'While creating unisex clothing, it is important to keep in mind the size, shape and silhouette of the garment, for it to be comfortable for all. “It requires a good understanding of pattern-making and the movement of the human form,” says the 25-year-old. Other than the jacket, the label also has unisex travel wallets and backpacks.']"
Chennai,"['Bird’s eye viewView of the temple from Skandashramam and the path leading to itNithin KumaR', 'The sun is punishing. Sweat rolls down my face. The rucksack feels like a boulder. I am climbing a 30-foot rock, painted with yellow arrows pointing the way up at Arunachala Hill, in Tiruvannamalai, a small temple town in Tamil Nadu and one of Hinduism’s most famous pilgrimage sites.', 'The Karthigai Deepam festival is when devotees from around the country make their way to Tiruvannamalai. For nine days, starting from November 23 this year, statues of deities will be taken on processions around the town. Some days, it will be on the fifty-foot-tall temple chariot.', 'On the final day of the festival, December 2 this year, a 10-foot-tall copper urn, preinstalled on the summit, filled with camphor, ghee and wicks of cloth will be lit. On a clear evening, the fire can be seen from miles away, making it look like a fluctuating star in the sky.', 'Located 180 kilometres from Chennai, the town’s population is 1,50,000. Sitting elegantly in the middle of the town is the 25-acre Arunachaleswara temple, one of the biggest in South India. Close to dawn, I walk past the huge eastern tower of the temple, before I start my climb. The tallest at 217 feet, it was built by Krishna Deva Raya of the Vijayanagara Empire, in 1516.', 'The giant green door under the huge tower is opened by a man clad in a white dhoti, chanting mantras. He opens all the sanctums, clears the previous day’s garlands and lights lamps near the deities. While sitting on the hill, a couple of hundred metres above, I see people the size of ants inside the squared temple premises. The huge gopuras and the surrounding town look like a plastic model in a museum. The scent of eucalyptus flavours the air. The path is rocky and steep, and tall bushes and thorny plants stick out on the path. The heat increases. And I am slowly running out of water.', 'The Geological Survey of India claims the hill to be 3.5 billion years old. But, obviously, the temple is much younger. Inscriptions on its walls date back to the 7th Century Pallava era. Later, it came under the Cholas in the 9th Century.', 'I continue up. My thighs start to burn. The sound of crickets never stops. An occasional breeze hits me. The summit is close, yet seems so far away. According to mythology, Shiva appeared as a flame to get rid of darkness in the world.', 'Pilgrims also walk around the hill; a practice called Girivalam. It is usually done on full moon days. And it is more auspicious during the full moon of Karthigai Deepam. Eight lingams are present on the small road around the hill. People usually walk bare foot, covering 14 kilometres, visiting all the eight temples on the way. The road elegantly curves around the hill, with trees bending over it. The reserve forest on either side makes the place serene. I continue until I reached the summit of the mountain of fire. There are vast luscious green fields around, as far as the eye can see. Small mountains are visible in the distance. The summit is blackened with burnt ghee and butter. It is slippery at the edges of the summit rock. I close my eyes in meditation. I realise my life is a journey that I should continue, literally and metaphorically, in search of new experiences.', '', 'People usually walk bare foot, covering 14 kilometres, visiting all the eight temples on the way']"
Chennai,"['Daisy Ridley surprised herself with just how fit she got for her second\nStar Wars\nadventure. The 25-year-old British actress says she thought she had reached peak fitness for\nStar Wars: The Force Awakens\n, only to raise the bar even higher for upcoming movie\nThe Last Jedi\n. “What I really liked about this one was that I thought I had trained to my maximum the first time around. Then I was like, ‘Do you know what? I feel like my mental and physical capacity has grown. I feel like I have grown’,” says Daisy, who stars as trainee Jedi Rey opposite Mark Hamill as Luke Skywalker. “It was amazing going beyond what I thought I could do. Triceps, biceps, pumping, pumping!”']"
Chennai,"['The HinduHorizon 2017 - A School Expo is the place to be for parents who are on the monumental task of scouting for the best school for their ward. The Expo features some of Tamil Nadu’s finest schools under one roof. Direct interaction with representatives of different school managements will help parents gain in-depth understanding of what is being offered.', 'The Expo will also set the stage for interesting seminar sessions by eminent speakers from the field. Chitra Ravi of Chrysalis will talk on ‘Smart Classrooms and Smarter Children?’, Chartered Accountant and writer Lavanya Mohan will talk on ‘Social media and students: The line between responsibility and recklessness’, Ramanujam from the Institute of Mathematical Sciences will be discussing the role of school curriculum in real life and Kirthi Jayakumar of The Red Elephant Foundation will throw some light on gender sensitisation in schools.', 'The event is sponsored by FIITJEE as a powered by sponsor. Diamond Sponsorship is by Chennai Public School while Saraswati Vidyalaya, SRM Public School, Maharishi Vidya Mandir and Prof KK Anand Smart Minds Academy is the Gold Sponsor for the event. Entry is free but only by registration.', '']"
Chennai,"['', 'Calling kiddie talents for art, GK, dance and other contests. Last date for registration is November 17.', '@ The Grand Mall, Velachery\nNovember 18-19 (Preliminary Round)', '9841206506']"
Chennai,"['', 'Carnatic music and folk dance performers go all-out in a free, public event by Urur Olcott Kuppam.', '@ Tambaram railway station', 'November 17, 6 pm onwards', 'Open to all']"
Chennai,"['Spendyour afternoon venturing a little off the beaten track. Explore the quiet St Anna District, home to the Museum of Lace, the Folklore Museum, and the oldest pub in Bruges, Café Vlissinghe. Housed in the renovated old lace school of the Sisters of the Immaculate Conception, the museum traces the history of lace making in Bruges. The Folklore Museum, set in a 17th Century building, displays antique treasures of Flemish history and offers an insight into the daily life of the locals from about a hundred years ago. If history is not your subject, you can spend your afternoons getting lost in a chocolate jungle and looking for hidden chocolates at the Choco-Story Museum, or tracing the origin of fries and their importance in Belgian history at the Frites Museum. You could choose to wrap up your afternoon with a leisurely tour of the Beer Museum perched on top of a former post office, or sip actual beer in one of the many cafés. With so many exciting food and beverage options, this is a great place for gourmets.']"
Chennai,"['Bruges is set along meandering canals and criss-cross waterways. Cruising through them is a great way to experience the Flemish town, especially at dusk. Passing through beer breweries and cafés, churches and cathedrals, and narrow-stepped gabled homes helps you take layers off the history of one of the oldest cities of Belgium. It also helps you make friends with resident swans, breathe in the beer-scented air, and get to know the friendly captain of the boat. If you prefer exercising your limbs, hire a bike and explore the town like Anushka Sharma did in\nPK\n. Remember to stop by a bookshop, and pause for delicious hot chocolate. Along the way, discover houses that have defined Bruges since the Middle Ages, listen to the tales behind their tiny windows, and marvel at the beauty of this UNESCO World Heritage City. End your day at one of the many Michelin-starred restaurants. Choose from delicacies like horse steak, eel in herb sauce, and tongue set in gelatin, or play it safe with stew or mussels and mushroom.']"
Hyderabad,"['Justice M. Satyanarayana Murthy of the Hyderabad High Court on Wednesday said charges under Prevention of Corruption (PC) Act cannot be pressed against S.N. Mohanty, retired IAS officer, by the CBI in the case arising out of disproportionate assets of Y.S. Jagan Mohan Reddy.', 'The judge was partly allowing the case filed by the IAS officer.', 'The CBI has shown Mohanty as accused in the case by registering cases under Section 13(1) D of the PC Act and Sections 120 (B) 420 and 408 of IPC.', 'The officer wanted the case to be quashed completely. The judge said that the case as far as the PC Act is concerned is quashed.', 'The judge pointed out that the government had not accorded sanction for the prosecution of the petitioner under PC Act which was mandatory to prosecute the government servant and the CBI had also not furnished any evidence that the petitioner individually got benefited out of the land allotment.']"
Hyderabad,"['Fianance MinisterEatala Rajender.', 'The State Government will clear all the dues of fee reimbursement for the academic year 2016-17 in the coming days, asserted Finance Minister Eatala Rajender.', 'The Government had released Rs. 2,896 crore out of Rs. 3,200 crore due and the remaining would be released in the next month or so. An estimated Rs. 400 crore would be set aside for the current academic year, he said in the Assembly on Wednesday.', 'Replying to a heated debate on the short discussion on fee reimbursement scheme, the Minister said the Government would not be able to clear the current year’s account immediately as there were different admission schedules for different courses. The details of all the eligible students had not been uploaded so far and a final picture on the quantum of fee reimbursement could be arrived at only after scrutinising these details.', 'Admission process', '“Admissions for intermediate courses will be complete by July and admission for degree courses by August. Admission into professional and other courses continue till the year-end and a final picture will come towards end of January,” he said. Given the variations in the admission schedules, the Government was making payments for dues of the previous academic years.', 'Dues relating to fee reimbursement was not a new phenomenon and it was a legacy of the previous Congress government of the erstwhile united State, he said quoting the dues during the Congress regime that kept increasing over the years till the TRS took over the reins. The TRS Government had hiked the mess and maintenance charges significantly over the past couple of years benefiting students, he said.', 'The Congress, BJP and TDP members criticised the Government for its negligent attitude in ensuring timely payment of dues resulting in hardships to students. There were several incidents of college managements holding back certificates of qualified students citing pending fee reimbursement dues.']"
Hyderabad,"['Minister for Municipal Administration K.T. Rama Rao.file photoK.V.S. GIRI', 'The city has about 28,000 structural encroachments obstructing the storm water drains leading to severe water logging and of these efforts were on remove 1,000 major encroachments, Minister for Municipal Administration K.Taraka Rama Rao said.', 'Mr. Rama Rao, who was replying to a question on water logging and severe inconvenience caused to the citizens during the recent rains, said that the Greater Hyderabad Municipal Corporation (GHMC) has only 1,221 kms of storm water drains and these were insufficient resulting in water stagnation. Adding to the woes were the encroachments that were choking the flow in the drains.', 'The GHMC has taken up improvement of bottlenecks for 47 storm water drains at a cost of Rs. 230 crore. He said the GHMC has identified 13 chronic water stagnation points and action has been initiated to rectify the same.', 'Similarly, 346 road vulnerable points that are prone to water stagnation were identified and rectification of these was being taken up at a cost of Rs. 121.44 crore and by next monsoon this would be done.', 'The Minister also said that 43.61 lakh cubic metres of silt was removed last year while about 75 lakh cubic metres silt was removed this year so far for smooth flow of drainage water. He also assured that a meeting of city legislators would be held soon to discuss the issue.']"
Hyderabad,"['A special drive would soon be launched against persons defaulting on income tax payment in Telangana and Andhra Pradesh.', 'It is learnt that Income Tax (I-T) officials has identified persons evading tax in different categories, but their number is yet to be ascertained. “There are applicants who submitted self-assessed IT forms but failed to pay tax,” an I-T official said, requesting anonymity.', 'Another category comprises people who come under the taxable income slab but don’t file I-T returns. In some cases, some companies collected amount through tax deduction at source (TDS) from their employees. But that was not deposited with the Central Government Treasury, he said.', 'The special drive may commence any time soon and continue for nearly six weeks, sources said.', 'Penalty dose', 'A meeting of top I-T officials Telangana and AP will be convened in this regard. Special Prosecution Counsels for I-T A. Ramakrishna Reddy, J. Baswa Raju, Shiv Gopal Singh and H. Govinda Rao would also take part in the meeting.', 'The panel of lawyers and I-T officials would discuss how Section 276 of the Income Tax Act, 1995 can be invoked against tax evaders.', '“Persons wilfully evading I-T may be asked to pay fine or awarded minimum jail term of three months under the Section,” the officials said.', '', 'There are some applicants who submitted self-assessed IT forms but failed to pay tax, but their number is yet to be ascertained.', 'INCOME TAX OFFICIAL']"
Hyderabad,"['Manish Sisodia with Telangana IT Minister K.T. Rama Rao in Hyderabad on Wednesday.PTI', 'An official delegation of the Delhi Government, led by Deputy Chief Minister Manish Sisodia, on Wednesday visited T-Hub in the city to draw inputs from the Tech start-up incubator for the proposed Delhi Hub.', '“Like T-Hub, we are creating Delhi Hub,” he said, adding three locations have been identified for the project. Seeking to highlight the number of technology ideas that the project would support, he pointed out that many incubation research projects were underway in Delhi. The State Government, he added, was keen on supporting the growth of MSMEs.', 'Mr. Sisodia and the team, which included Health Minister Satyendar Jain, participated in the MeltingPot 2020 conference before visiting to T-Hub and meeting Telangana IT and Industries Minister K.T. Rama Rao.', 'A release from Mr.Rao’s office said that the Minister explained various initiatives of the Telangana Government to support the innovation ecosystem and skilling of youngsters.', 'Mr. Rao explained to the visiting delegation that the T-Hub as an incubator of start-ups was taken up to promote a new wave in Information Technology industry which went through a phase of uncertainty before formation of the State. It helped build start-up culture in Hyderabad.', 'Mr. Sisodia, who is also the Education Minister, told the conference that the need was to foster a “creative and critical learning environment in schools. We have to fix the problem of education and focus on (supporting) research and innovation.”', 'Good Samaritan Scheme', 'Addressing the conference, organised by CL Educate, Mr. Jain said the Delhi Government planned to launch a Good Samaritan scheme under which those rushing accident victims to the hospitals would be rewarded Rs. 2,000 each.']"
Hyderabad,"['The water sump into which little Nama Shiv Ruchith slipped on Tuesday was just a few feet away from the play equipment at Bachpan play school at Malkajgiri.', 'In fact, a plastic slide is just four feet away from the sump. There is every possibility that any kid loitering around or moving playfully at the narrow passage, the play area of the school, would slip into the sump through the hole if it’s not covered. “Ruchith slipped into the water sump through the hole as half of it was kept open,” both the boy’s parents and the Malkajgiri police said. The so-called play area of the school being run in a two-floor residential building is simply a passage through which the inmates can move. The sump is about 15-foot deep, filled with water. There are three water sumps in the building, that has nine drainage holes at different points of the passage. “We saw an ayah crying. When we grilled her, she admitted that the boy drowned in the water sump,” the boy’s parents Anil Kumar and Vishala recalled. The school’s staff had initially said that the boy didn’t turn up at the school. “They were trying to hide the boy’s death and their negligence. They should be booked for screening evidence,” the parents demanded. At their instance, the school watchman entered the sump and brought out the boy. His parents rushed him to a private hospital where the doctors declared him brought dead.', 'On the fateful day, the two-and-half-year-old Ruchith was dressed up as an elephant to participate in a fancy dress competition for Children’s Day.', 'Meanwhile, the Education Department officials said the school’s ‘opening permission’ had lapsed and it was operating illegally.', '“Instructions have been sent to our officials in the Malkajgiri district to verify the documents concerned and seize the school,” Medchal District Education Officer Usha Rani said.', 'The police on Wednesday arrested three accused – K. Raghavender (40), principal-cum-director of Bachpan School; L. Unni Krishanan (47), counsellor, and Partick (52), watchman of the school.', '', 'Instructions have been sent to our officials in Malkajgiri to verify the documents concerned and seize the school.', 'Usha Rani', 'Medchal District Education Officer']"
Hyderabad,"['The Government’s ‘negligence’ in making repayment of huge dues to college managements under fee reimbursement scheme generated considerable heat in the Legislative Assembly on Wednesday with all opposition parties barring the Majlis-e-Ittehadul Muslimeen staging a walk out from the House.', 'During the more than three-hour-long debate, the Opposition parties alleged that the Government’s failure to remit the dues in time resulted in hardships to students who were being humiliated by the managements of the respective colleges.', 'With the colleges holding up certificates of qualified students on the pretext of pending dues, several of them resorted to extreme steps like committing suicides, but the Government remained ‘indifferent’ to their plight.', '‘Evolve mechanism’', 'They wanted the Government to evolve a mechanism to ensure release of funds on monthly or quarterly basis to avoid inconvenience to students.', 'Initiating the debate, Congress member S.A. Sampath Kumar alleged that dues over Rs. 4,000 crore to different colleges were pending, but the Government had not announced a concrete schedule for their release.', 'Chief Minister K. Chandrasekhar Rao had assured the Assembly during last year’s budget session that the Government would adopt a zero down approach to clear pending dues, but the assurance did not materialise.', 'Another Congress member N. Uttam Kumar Reddy alleged that the Government was keen on ensuring payments to contractors, but the same interest was not displayed in case of students. The mounting dues to private institutions resulted in non-payment of salaries to teaching and non-teaching staff in private colleges and some of them were even closed down.', 'Bharatya Janata Party floor leader G. Kishan Reddy alleged that the Government was trying to dilute the scheme. The Government had adopted different yardsticks for different communities.', '“While Muslims under BC (E) category are assured of full fee reimbursement, limitations are imposed on other categories.', 'Why is the Government discriminating against these sections?” he asked.', 'Another BJP member K. Laxman questioned the rationale behind closure of private colleges in the name of faculty and infrastructure shortage when the same situation existed in the State-run universities including the Osmania University.', 'Telugu Desam Party member Sandra Venkata Veeraiah said though announcements were coming from the Government from time to time on release of funds, the situation on ground was different.', 'He pointed out that this was largely due to the treasury restrictions that were coming in the way of release of funds.']"
Hyderabad,"['A 26-year-old techie, on her way to work, met a tragic end after a TSRTC bus ran over her at Banjara Hills here on Wednesday.', 'The victim was identified as A. Shirisha, a resident of Gajularamaram, who was working at a private software firm on road no. 12 at Banjara Hills. The incident took place between 11.30 a.m. and 12 noon, when the victim was crossing the road near Virinchi Hospital to go to her office in an auto-rickshaw.', 'The police said the bus, coming from Banjara Hills road no. 1/10 junction, was driven in a rash and negligent manner, that hit her from behind when she came under the wheels. She sustained severe head injury and death was instant for her. “The driver had fled the place, but he surrendered before us later in the afternoon,” the police said.']"
Hyderabad,"['Common interest:Many of the walkers were young persons selected as youth leaders from participating colleges in Hyderabad.By Arrangement', 'It was a heritage walk with a difference on Tuesday. Part of the week-long Agaaz-e-Baatcheet, the walk was limited to the Nampally area but encapsulated the mixed heritage of the city. As dozens of young people gathered for the walk in the evening, British Deputy High Commissioner Andrew Fleming joined and the walk began with a visit to Don Bosco shelter in one of the inner lanes of area.', 'Making a difference', '“Many people don’t expect to find this Don Bosco institution here, but it is here and it is making a difference in the lives of the young people,” said Haseeb Jafferi as he led the walk.', 'The next stop was again a surprise. A Pochamma temple in another lane of Nampally. The walkers sat down in the open courtyard of the temple.', '“When people come here to pray, we don’t ask them any questions. A number of people come to pray. Some come and just sit here for some time and then walk away,” said the priest, adding that the temple is two centuries old.', 'Then the walkers stepped out towards the Yousufain Dargah briefly examining the Nampally market with its specialised lanes selling pickles, poultry, groceries, etc.', 'The walk ended at the Yousufain Dargah as people sat down to listen to stories of harmony and camaraderie.', 'Many of the walkers were young persons selected as youth leaders from participating colleges in the city.', 'The programme was organised by a non-profit Rubaroo and backed by the British Deputy High Commission.']"
Hyderabad,"['The Legislative Assembly on Wednesday witnessed an interesting debate on whether a member can register his protest on behalf of his party when their respective floor leader or deputy is present in the House.', 'The issue figured during the debate on the fee reimbursement scheme which came up under short discussion in the House. Congress member N. Uttam Kumar Reddy took the mike to register his party’s protest, but Legislative Affairs Minister T. Harish Rao took objection to it. Citing the presence of Congress Legislature Party deputy leader T. Jeevan Reddy in the House, Mr. Harish Rao said either the floor leader or his deputy should register their protest going by the conventions of the House and members would not be allowed to do the same when they were present in the House.', '“In spite of claiming their party as the one with more than 100-year history, the Congress members don’t respect their own leader or his deputy,” he said. This resulted in heated exchanges between the Treasury Benches and the Congress.', 'Mr. Uttam Kumar Reddy insisted that members could register protest on behalf of their party and alleged that the Legislative Affairs Minister was misleading the House on the issue. The Congress members, however, staged walk out from the House later after Deputy Speaker Padma Devender Reddy, who was chairing the proceedings, permitted Mr. Uttam to register his protest.']"
Hyderabad,"['File photo of a forage harvester.Arrangement', 'Ever wondered why imported cows give 18-20 litres of milk daily while the desi bovines yield just about 3-5 litres a day? Apart from genetics, health and other issues, the answer lies in quality, protein and carbohydrate-rich fodder for milch animals.', 'Indian bovines are mostly fed dry hay and green grass, leading to less milk production as compared to their counterparts in Europe and other advanced nations. If the local cows and buffaloes are fed quality fermented maize crop, including the corn cob cut into small pieces, milk yield can go up by 15%, claim German agri-alliance firms.', 'A group of German firms dealing with agriculture that came together to promote their respective strengths in areas of technology, research and development, signed separate pacts with the Telangana and Andhra Pradesh Governments last month to explore opportunities in mechanisation and efficiency in farming at the recently held World Food Fair in Delhi.', '“Our forage harvesters, especially the small ones costing Rs. 4 lakh, are ideal for small farmers. Along with tractor-trolley and a fermentation container, it costs upto Rs. 10 lakh. State Governments are already offering 50% subsidy (AP) or planning (TS). It can cover half-acre in an hour,” explained ‘CLASS’ agriculture machinery MD Mrityunjaya Singh at a media interaction.', 'The firm has inked deals with both governments to double the dairy production by propagating and providing harvesters for farmers to cut maize crop and ferment to form ‘silage’. Already, four big forage harvesters costing upto Rs. 4 crore that can handle upto four acres an hour are in use in AP, and with the help of agriculture marketing committees, upto 10,000 tonnes are being supplied to farmers at Rs. 3 a kilo from last year, he said.', 'A cow/ buffalo would need upto 20 kg feed everyday and though it could be expensive compared to dry hay or green grass, the productivity would be enhanced, the MD insisted. The 123-year-old firm with a manufacturing plant at Chandigarh also makes grain harvesters, balers and transplanters.', 'Mr. Singh said India is ready to go for farm mechanisation what with labour shortage and need for more farming efficiency.', 'CLASS has training academies to teach about running and maintaining harvesters across the country with one in Anantapur. It has also initiated ‘Dost’ centres in Karnataka to rent equipment. Both facilities could well be replicated in TS, added Mr. Singh.']"
Hyderabad,"['The Greater Hyderabad Municipal Corporation (GHMC) has prepared budget proposals worth a whopping Rs. 13,150 crore for the financial year 2018-19, notwithstanding the fact that it could not spend even a tenth of its revised budget estimates during the first half of the current year.', 'The budget proposals will be placed for discussion at the Standing Committee meeting on Thursday.', 'Proposing to spend more than Rs. 10,000 crore on asset creation (capital expenditure), the civic body has shown over 60 % of it under Housing, in obvious reference to the ongoing double bedroom housing project in the city.', 'At over Rs. 2000 crore proposed allocations for the roads and pavements are the next biggest component, followed by proposed expenditure on creation of water supply and sewerage network in the peripheral municipalities at close to Rs. 630 crore.', 'Low spending', 'Rosy projections aside, fact is that the civic body could not spend more than Rs. 313 crore during the current financial year up to September-end. It is not even 10 % of the revised budget estimates for the year which are pegged at over Rs. 5,000 crore.', 'Housing has added substantially to the revised estimates too. Originally pegged at Rs. 400 crore, the budget under the head has been revised to over Rs. 2,300 crore, apparently in anticipation of funding from the State government as promised by Municipal Administration Minister K.T. Rama Rao in the Legislative Council on Tuesday. A revised figure of close to Rs. 4,000 crore under the head ‘Plan Grants’ in ‘Capital Receipts’ substantiates the anticipation. During the original budgetary estimates, the figure was mere Rs. 413 crore.', 'Upon enquiry, officials from GHMC have told, under the condition of anonymity, that the government has not sanctioned even a penny from the original estimate too, leave alone the revised one.', 'Of over Rs. 300 crore revised estimates for capital expenditure on storm water drains, the amount spent during the first six months remains at Rs. 13 crore.', 'On the income front too, projections belie the actual receipts. The revised budgetary estimates for the revenue income stand at over Rs. 2,900 crore, of which only about Rs. 1000 crore have been realised so far.', 'Nevertheless, the revenue receipts for the next year are projected to cross Rs. 3,300 crore.']"
Hyderabad,"['Sunnam Rajaiah', 'As mighty high-end cars, massive sports utility vehicles, along with the stylish one zoom into the Telangana Assembly with their revving engines catching everyone’s attention, the Members of the Legislative Assembly (MLAs) get down to warm reception of the Assembly staff and the security personnel reflecting the power they enjoy.', 'In the midst of those expensive vehicles comes a two-wheeler with an MLA pillion riding on it.', 'He gets down the bike with a few papers in his hands and walks into the Assembly portico almost unnoticed. In the youngest State of the country, this MLA elected from Bhadrachalam constituency, Sunnam Rajaiah stands out with his simplicity.', 'The CPI (M) MLA is also one of the few MLAs who used the bus service provided by the government from the MLA quarters to the Assembly during the sessions. However, the government withdrew the facility in the last budget session. “I was the lone MLA using the service and some times a couple of other MLAs used to join but that has been withdrawn now,” he said. In fact, his simplicity also landed him in some embarrassing moments. In 2015, police posted at the Assembly refused his entry as he came in an autorickshaw and they couldn’t identify him. Despite his pleas that he was an MLA, the auto was not allowed entry forcing him to get down at the main road and walk all the way into the Assembly building. “It’s sad that simplicity is a disadvantage in the society,” he said.', 'Mr. Rajaiah, once again, caught the attention of the MLAs during the Question Hour on Wednesday requesting the government to run a Garuda bus between his constituency Bhadrachalam and Hyderabad as one of the two services were withdrawn last month. “I use the night service to come to Hyderabad from my constituency and I request the Minister to immediately revive the service,” he pleaded. Mr. Rajaiah told\nThe Hindu\nthat the outdated bus broke down in the forest area last month and instead of running a new bus, the TSRTC has withdrawn the service totally. Since thousands of pilgrims visit the temple town daily, he wants the service to be reintroduced.']"
Hyderabad,"['Hungry kya?Actress Rakul Preet Singh, Bhavik Rathod, head of UberEATS India and Jason Droege, head of UberEverything, during the launch of UberEATS on Wednesday.K.V.S. GiriK.V.S. GIRI', 'Uber has announced the launch of a new food delivery app UberEATs where citizens can order food from about 300 restaurants in the areas of Madhapur, Kondapur, Gachibowli and Kukatpally with a delivery price of just Rs. 1 from Wednesday onwards with no minimum order!', '', 'Tracking facility', '', 'It’s very simple to order. Download the app, pitch in your address, check out the meal and place the order after which it can be tracked till it is delivered.', '“Hyderabad is the seventh city in the country to be offered this service and we have partnered with all the top eating places,” said Jason Droege, Head of UberEverything and Bhavik Rathod, Head of UberEats.', 'Actress Rakul Preet Singh made the first order to kick off the food service which, for now, will be available only for the western part of the capital.', '“UberEATS has gained great momentum in India which has been one of our fastest growing markets,” said Mr. Droege.', 'What Uber has already found out based on its database is up to seven lakh plates of the Hyderabadi Dum Pukht biryani everyday and Chicken 65 is the most ordered dish! Besides, Haleem, Mirchi Ka Salan and Irani Chai with Osmania biscuits too are hot cakes!', 'The mobile food service which started in Los Angles, has been launched in Mumbai in May earlier this year and has earlier been taken to the cities of Delhi, Gurgaon, Bangalore, Chennai and Chandigarh.']"
Hyderabad,"['Justice M. Satyanarayana Murthy of the Hyderabad High Court on Wednesday said he will hear arguments in cases filed by Kanche Iliah, who requested the court to quash three criminal cases registered against him, on Monday. A. Satya Prasad, counsel appearing for Mr. Kanche Iliah, said some stray sentences cannot be put together to make out a criminal case against his client. He said the controversy was about a chapter written in a book in 2009. Each chapter in that book spoke about communities like Brahmins, Vysyas, Washermen etc. The problem began when a chapter on Vysyas was extracted and published as a separate book. After hearing him the judge posted the case to Monday to hear the arguments of the other side.']"
